0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
,,1508,TEBO,1,-,-,-,-,-,-,-,7,1,-,-,-
,,1509,BUNGO,1,-,-,-,-,-,-,-,7,1,-,-,-
,,1572,"KOTA
SUNGAI
PENUH",2,-,-,120,10,-,40,-,7,1,-,1,-
16,"SUMA-
TERA
SELATAN",1601,"OGAN
KOMERING
ULU",4,-,-,150,-,-,-,1.446,7,1,1,-,-
,,1602,"OGAN
KOMERING
ILIR",4,-,-,444,-,-,-,347,7,1,-,-,-
,,1603,"MUARA
ENIM",3,1,-,99,-,1,-,19,7,1,-,-,-
,,1604,LAHAT,3,-,-,-,7,-,73,-,7,1,1,1,-
,,1605,"MUSI
RAWAS",5,-,-,2.150,6,-,48,291,7,1,-,-,1
,,1606,"MUSI
BANYU
ASIN",10,-,-,5.590,6,2,11,441,7,1,3,4,-
,,1607,"BANYUA-
SIN",10,1,3,-,64,-,50,164,7,1,-,-,-
,,1608,"OGAN
KOMER-
ING ULU
SELATAN",10,2,2,3,2,-,1,38,7,1,4,-,-
"Kode
Wilayah
Provinsi","Nama
Provinsi","Kode
Wilayah
Kabu-
paten/
Kota","Nama
Kabu-
paten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,8,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi &
Terdampak","Rumah
Rusak
Berat","Rumah
Rusak
Sedang","Rumah
Rusak
Ringan","Rumah
Terendam",8,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,Jiwa,,,Unit,,,,8,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),8,1,(13),(14),(15)
,,1609,"OGAN
KOMERING
ULU TIMUR",1,-,-,-,-,-,9,-,8,1,-,-,-
,,1610,OGAN ILIR,21,-,-,683,4,-,-,135,8,1,1,-,-
,,1611,"EMPAT
LAWANG",2,-,1,90,30,-,-,50,8,1,-,-,-
,,1612,"PENUKAL
ABAB
LEMATANG
ILIR",10,-,-,16,3,1,3,20,8,1,-,-,-
,,1613,"MUSI
RAWAS
UTARA",4,-,-,14.690,68,18,175,1.802,8,1,-,-,-
,,1671,KOTA PALEMBANG,2,-,-,-,-,-,-,-,8,1,-,-,2
,,1673,"KOTA
PAGAR
ALAM",3,-,-,-,-,-,-,-,8,1,-,-,-
,,1674,"KOTA
LUBUK
LINGGAU",3,-,-,-,-,-,-,-,8,1,-,-,-
17,"BENG-
KULU",1701,"BENGKULU
SELATAN",1,-,-,90,1,2,15,-,8,1,-,-,-
,,1702,"REJANG
LEBONG",2,1,3,815,6,17,15,-,8,1,1,1,-
,,1703,"BENGKULU
UTARA",3,-,-,4.038,-,-,-,942,8,1,-,-,2
,,1704,KAUR,1,1,-,4.851,65,151,468,850,8,1,7,4,1
,,1705,SELUMA,6,1,-,3.805,12,9,39,169,8,1,-,3,1
,,1706,"MUKOMU-
KO",2,-,-,1.609,12,-,13,300,8,1,-,-,-
,,1707,LEBONG,1,-,-,5.870,3,-,-,-,8,1,3,-,1
,,1708,KEPAHIANG,5,4,-,1.876,33,19,235,356,8,1,2,-,1
,,1709,"BENGKULU
TENGAH",2,21,4,21.163,63,246,156,125,8,1,9,3,-
,,1771,"KOTA
BENGKULU",2,3,-,30.012,39,383,54,4.714,8,1,5,7,1
18,"LAM-
PUNG",1801,"LAMPUNG
BARAT",16,-,-,45,6,2,64,8,8,1,-,-,-
,,1802,TANGGAMUS,4,-,-,-,21,17,8,437,8,1,1,-,-
,,1803,"LAMPUNG
SELATAN",1,-,-,1.050,-,-,-,-,8,1,-,-,-
,,1804,"LAMPUNG
TIMUR",1,-,-,-,2,-,18,-,8,1,-,-,-
,,1805,"LAMPUNG
TENGAH",2,-,-,660,4,-,98,101,8,1,-,-,-
