page,text_preview,num_tables_found
31,"Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
6311 BALANGAN 5 - 1.727 284 - - -
",1
32,"LAMPIRAN 2 - BANJIR 2019
Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
73 SU- 73",1
33,"Tabel L5. Kejadian Bencana Banjir Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten/ Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten/ Kota
& Hilang Sakit & Rusak Rusak Rusak Terendam Pendidikan Peribadatan Kesehatan
Kota
Terdampak Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14) (15)
76 SU- 7603 MAMASA 1 - - 20 - - -
",1
34,"LAMPIRAN 3 - PUTING BELIUNG 2019
Tabel L6. Kejadian Bencana Puting Beliung Tahun 2019 Berdasarkan Provinsi
Kode Nama Provinsi Jumlah Korban Kerusakan
Wilayah Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribada- Kesehatan
Berat Sedang Ringan tan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12)
11 ACEH 63 - 8 1.470 133 69 197 4 5 -
12 SUMATERA 32 - 5 184 73 69 229 - 4 1
UTARA
13 SU",1
35,"Tabel L7. Kejadian Bencana Puting Beliung Tahun 2019 Berdasarkan Kabupaten/Kota
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten / Kota
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
11 ACEH 1102 ACEH SINGKIL 4 - - 76 6 2 10 - - -
1103 AC",1
36,"LAMPIRAN 3 - PUTING BELIUNG 2019
Tabel L7. Kejadian Bencana Puting Beliung Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten / Kota
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
1218 SERDAN",1
37,"Tabel L7. Kejadian Bencana Puting Beliung Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten / Kota
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
1609 OGAN 1 - - - - - 9 - - -
KOMERING
ULU T",1
38,"LAMPIRAN 3 - PUTING BELIUNG 2019
Tabel L7. Kejadian Bencana Puting Beliung Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten / Kota
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
32 JAWA 320",1
39,"Tabel L7. Kejadian Bencana Puting Beliung Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten / Kota
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
3310 KLATEN 17 1 10 - 14 32 349 4 3 -
3311 S",1
40,"LAMPIRAN 3 - PUTING BELIUNG 2019
Tabel L7. Kejadian Bencana Puting Beliung Tahun 2019 Berdasarkan Kabupaten/Kota (Lanjutan)
Kode Nama Kode Nama Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah Kabupaten Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten / Kota
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
Jiwa Unit
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
3507 MALANG",1
