0,1,2,3,4,5,6,7,8,9,10,11,page,table_number,12,13,14
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,6,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,6,1,,,
,,,,,Jiwa,,,Unit,,,,6,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),6,1,(13),(14),(15)
,,1408,SIAK,1,-,-,692,,,,173,6,1,-,-,-
,,1409,KUANTAN SINGINGI,11,-,-,21.126,,,,3.639,6,1,-,-,-
,,1410,"KEPULAUAN
MERANTI",1,-,-,-,,,,,6,1,-,-,-
,,1471,KOTA PEKANBARU,8,-,-,6.565,,,,1.726,6,1,-,-,-
,,1472,KOTA DUMAI,4,-,-,198,,,,42,6,1,-,-,-
15,JAMBI,1501,KERINCI,10,4,-,25.121,27,23,215,8.350,6,1,-,-,-
,,1502,MERANGIN,14,-,-,4.352,13,,146,1.431,6,1,-,1,-
,,1503,SAROLANGUN,7,-,-,26.195,,,4,10.355,6,1,-,-,-
,,1504,BATANGHARI,26,-,5,42.295,18,20,44,16.130,6,1,3,-,-
,,1505,MUARO JAMBI,21,-,-,205,1,8,,2.575,6,1,-,-,-
,,1506,"TANJUNG JABUNG
BARAT",6,-,-,765,2,,6,220,6,1,-,-,-
,,1507,"TANJUNG JABUNG
TIMUR",8,-,-,7.251,5,3,2,,6,1,-,-,-
,,1508,BUNGO,29,-,-,108.688,1,,2,14.868,6,1,-,-,-
,,1509,TEBO,2,-,-,77.843,,,,25.157,6,1,-,-,-
,,1571,KOTA JAMBI,1,-,-,94,,,,86,6,1,-,-,-
,,1572,"KOTA SUNGAI
PENUH",8,-,-,23.288,7,4,10,6.975,6,1,1,4,-
16,"SUMATERA
SELATAN",1601,"OGAN KOMERING
ULU",9,7,14,188.598,49,39,98,34.469,6,1,-,-,-
,,1602,"OGAN KOMERING
ILIR",6,-,-,85,17,,,,6,1,-,-,-
,,1603,MUARA ENIM,45,-,3,16.814,9,,64,7.810,6,1,-,-,-
,,1604,LAHAT,7,-,-,3.310,,,,567,6,1,-,-,-
,,1605,MUSI RAWAS,7,-,-,19.730,,,,3.940,6,1,-,-,-
,,1606,MUSI BANYUASIN,26,-,-,97.876,6,,1,16.424,6,1,-,-,-
,,1607,BANYUASIN,38,-,-,1.332,6,21,,251,6,1,-,-,-
,,1608,"OGAN KOMERING
ULU TIMUR",2,-,-,6.810,,,,1.362,6,1,-,-,-
,,1609,"OGAN KOMERING
ULU SELATAN",4,2,-,4.461,4,6,8,1.390,6,1,1,1,-
,,1610,OGAN ILIR,70,-,-,6.554,,,,1.345,6,1,-,-,-
,,1611,EMPAT LAWANG,2,-,-,170,,,,34,6,1,-,-,-
,,1612,"PENUKAL ABAB
LEMATANG ILIR",32,-,-,200,,,,40,6,1,-,-,-
,,1613,MUSI RAWAS UTARA,9,6,-,234.850,464,110,335,32.148,6,1,-,-,-
,,1672,KOTA PAGAR ALAM,3,-,-,810,,,,162,6,1,-,-,-
,,1673,"KOTA LUBUK
LINGGAU",4,-,-,2.384,2,,3,519,6,1,-,-,-
,,1674,KOTA PRABUMULIH,7,-,-,24.839,4,50,126,3.433,6,1,-,-,-
17,BENGKULU,1701,BENGKULU SELATAN,2,-,-,575,8,19,113,,6,1,-,3,-
,,1703,BENGKULU UTARA,3,1,-,-,,27,,,6,1,-,-,-
,,1704,KAUR,1,1,-,-,,,,,6,1,-,-,-
,,1705,SELUMA,1,-,-,620,,,,124,6,1,-,-,-
"Kode
Wilayah
Provinsi",Nama Provinsi,"Kode
Wilayah
Kabupaten
/ Kota","Nama Kabupaten/
Kota","Jumlah
Kejadian",Korban,,,Kerusakan,,,,7,1,,,
,,,,,"Meninggal
& Hilang","Luka-
Luka","Mengungsi
&
Terdampak",Rumah,,,,7,1,"Fasillitas
Pendidikan","Fasilitas
Peribadatan","Fasilitas
Kesehatan"
,,,,,,,,"Rusak
Berat","Rusak
Sedang","Rusak
Ringan",Terendam,7,1,,,
,,,,,Jiwa,,,Unit,,,,7,1,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),7,1,(13),(14),(15)
,,1706,MUKO MUKO,2,-,-,80,1,,,,7,1,-,-,-
,,1707,LEBONG,1,-,1,14.850,79,,265,2.970,7,1,-,-,-
,,1708,KEPAHIANG,3,-,-,1.517,,,,326,7,1,-,-,-
,,1771,KOTA BENGKULU,5,-,-,2.909,,,5,466,7,1,-,-,-
18,LAMPUNG,1801,LAMPUNG SELATAN,7,-,8,2.800,18,87,130,327,7,1,-,1,1
,,1803,LAMPUNG UTARA,1,-,-,135,,,,27,7,1,-,-,-
,,1804,LAMPUNG BARAT,1,-,-,105,,,,21,7,1,-,-,-
