page,text_preview,num_tables_found
34,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L7. Kejadian Bencana Cuaca Ekstrem Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah / Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten /
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (1",1
35,"Tabel L7. Kejadian Bencana Cuaca Ekstrem Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Kode Nama Kabupaten Jumlah Korban Kerusakan
Wilayah Provinsi Wilayah / Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten /
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
7324 LUWU TIMUR 2 - - 309 39 8 16 - - -
",1
36,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L8. Kejadian Bencana Tanah Longsor Tahun 2024 Berdasarkan Provinsi.
Kode Nama Provinsi Jumlah Korban Kerusakan
Wilayah Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12)
11 ACEH 2 4 1 95 12 10 3 - - -
12 SUMATERA UTARA 15 32 39 3.278 27 1 12 - 2 ",1
37,"Tabel L9. Kejadian Bencana Tanah Longsor Tahun 2024 Berdasarkan Kabupaten/Kota.
Kode Nama Provinsi Kode Nama Jumlah Korban Kerusakan
Wilayah Wilayah Kabupaten/Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
11 ACEH 1104 ACEH TENGAH 1 4 - 66 9 10 - - - -
1112 A",1
38,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L9. Kejadian Bencana Tanah Longsor Tahun 2024 Berdasarkan Kabupaten/Kota. (Lanjutan)
Kode Nama Provinsi Kode Nama Jumlah Korban Kerusakan
Wilayah Wilayah Kabupaten/Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)",1
39,"Tabel L9. Kejadian Bencana Tanah Longsor Tahun 2024 Berdasarkan Kabupaten/Kota (Lanjutan).
Kode Nama Provinsi Kode Nama Jumlah Korban Kerusakan
Wilayah Wilayah Kabupaten/Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
3579 KOTA BATU 1 - - 50 - - - - - -
36 BAN",1
40,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L9. Kejadian Bencana Tanah Longsor Tahun 2024 Berdasarkan Kabupaten/Kota. (Lanjutan)
Kode Nama Provinsi Kode Nama Jumlah Korban Kerusakan
Wilayah Wilayah Kabupaten/Kota Kejadian
Meninggal Luka / Mengungsi & Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)",1
41,"Gambar 16.2 Beberapa petugas
sedang memasang jaring
penahan di tebing agar tidak
longsor jika terjadi hujan.
Data Bencana Indonesia 2024 149",0
42,"LAMPIRAN DATA BENCANA INDONESIA TAHUN 2024
Tabel L10. Kejadian Bencana Gempa Bumi Tahun 2024 Berdasarkan Provinsi.
Kode Wilayah Nama Provinsi Jumlah Kejadian Korban Kerusakan
Provinsi
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12)
17 BENGKULU 1 - - 575 8 19 88 - 3 -
32 JAWA BARAT 5 1 157 66.619 937 2.042 4.9",2
43,"Tabel L11. Kejadian Bencana Gempa Bumi Tahun 2024 Berdasarkan Kabupaten/Kota.
Kode Nama Provinsi Kode Nama Kabupaten Jumlah Korban Kerusakan
Wilayah Wilayah / Kota Kejadian
Meninggal Luka / Mengungsi Rumah Rumah Rumah Fasilitas Fasilitas Fasilitas
Provinsi Kabupaten
& Hilang Sakit & Terdampak Rusak Rusak Rusak Pendidikan Peribadatan Kesehatan
/ Kota
Berat Sedang Ringan
(jiwa) (unit)
(1) (2) (3) (4) (5) (6) (7) (8) (9) (10) (11) (12) (13) (14)
3273 KOTA BANDUNG 1 - - - - - - - - -
3277 KOTA CIMAH",1
